Symbol,Name,Currency,Stock Exchange Long,Stock Exchange Short,Timezone Name
ABR-B,ARBOR RLTY TR I/PFD SH S B,USD,New York Stock Exchange,NYSE,America/New_York
ABR-C,ARBOR RLTY TR I/PFD SH S C,USD,New York Stock Exchange,NYSE,America/New_York
ABT,Abbott Laboratories,USD,New York Stock Exchange,NYSE,America/New_York
ABTX,Allegiance Bancshares Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ABUS,Arbutus Biopharma Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AC,Associated Capital Group Inc,USD,New York Stock Exchange,NYSE,America/New_York
ACA,Arcosa Inc,USD,New York Stock Exchange,NYSE,America/New_York
ACAD,ACADIA Pharmaceuticals Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACB,Aurora Cannabis Inc,USD,New York Stock Exchange,NYSE,America/New_York
ACBI,Atlantic Capital Bancshares Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACC,"American Campus Communities, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
ACCO,ACCO Brands Corporation,USD,New York Stock Exchange,NYSE,America/New_York
ACER,Acer Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACET,Aceto Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACGL,Arch Capital Group Ltd.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACGLO,ARCH CAP GRP LT/SH SH,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACGLP,ARCH CAP GRP LT/DEPOSITARY SH S E,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACH,Aluminum Corp. of China Limited ADR Class H,USD,New York Stock Exchange,NYSE,America/New_York
ACHC,Acadia Healthcare Company Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACHN,"Achillion Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACHV,Achieve Life Sciences Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACIA,"Acacia Communications, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACIU,AC Immune SA,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACIW,ACI Worldwide Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACLS,Axcelis Technologies Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACM,Aecom,USD,New York Stock Exchange,NYSE,America/New_York
ACMR,ACM Research Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACN,Accenture Plc,USD,New York Stock Exchange,NYSE,America/New_York
ACNB,ACNB Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACOR,Acorda Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACRE,Ares Commercial Real Estate Corp,USD,New York Stock Exchange,NYSE,America/New_York
ACRS,Aclaris Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACRX,AcelRx Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACST,Acasti Pharma Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACT,ADVISORSHARES T/VICE ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACTG,Acacia Research Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACWI,ISHARES TR/MSCI ACWI ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACWX,ISHARES TR/MSCI ACWI EX US ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADAP,Adaptimmune Therapeutics PLC - ADR,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADBE,Adobe Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADC,Agree Realty Corporation,USD,New York Stock Exchange,NYSE,America/New_York
ADES,Advanced Emissions Solutions Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADI,"Analog Devices, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADIL,Adial Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADM,Archer Daniels Midland Co,USD,New York Stock Exchange,NYSE,America/New_York
ADMA,ADMA Biologics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADMP,Adamis Pharmaceuticals Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADMS,Adamas Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADNT,Adient PLC,USD,New York Stock Exchange,NYSE,America/New_York
ADOM,Adomani Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADP,Automatic Data Processing,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADRA,BLDRS Asia 50 ADR Index,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADRD,BLDRS Developed Markets 100 ADR,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADRE,BLDRS Emerging Markets 50 ADR Index,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADRO,Aduro BioTech Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADRU,BLDRS Europe 100 ADR Index,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADS,Alliance Data Systems Corporation,USD,New York Stock Exchange,NYSE,America/New_York
ADSK,"Autodesk, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADSW,Advanced Disposal Services Inc,USD,New York Stock Exchange,NYSE,America/New_York
ADT,ADT Inc,USD,New York Stock Exchange,NYSE,America/New_York
ADTN,"ADTRAN, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADUS,Addus Homecare Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADVM,Adverum Biotechnologies Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADXS,"Advaxis, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEB,AEGON 5.29964% PERP CAPITAL SECS,USD,New York Stock Exchange,NYSE,America/New_York
AED,AEGON NV/,USD,New York Stock Exchange,NYSE,America/New_York
AEE,Ameren Corp,USD,New York Stock Exchange,NYSE,America/New_York
AEG,AEGON N.V.,USD,New York Stock Exchange,NYSE,America/New_York
AEGN,Aegion Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEH,AEGON NV/,USD,New York Stock Exchange,NYSE,America/New_York
AEHR,Aehr Test Systems,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEIS,"Advanced Energy Industries, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEL,American Equity Investment Life Holding,USD,New York Stock Exchange,NYSE,America/New_York
AEM,Agnico Eagle Mines Ltd,USD,New York Stock Exchange,NYSE,America/New_York
AEMD,"Aethlon Medical, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEO,American Eagle Outfitters,USD,New York Stock Exchange,NYSE,America/New_York
AEP,American Electric Power Company Inc,USD,New York Stock Exchange,NYSE,America/New_York
AER,AerCap Holdings N.V.,USD,New York Stock Exchange,NYSE,America/New_York
AERI,Aerie Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AES,AES Corp,USD,New York Stock Exchange,NYSE,America/New_York
AETI,"American Electric Technologies, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEY,"ADDvantage Technologies Group, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEYE,Audioeye  Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AEZS,AEterna Zentaris Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AFC,ALLIED CAPITAL 6.875% NTS,USD,New York Stock Exchange,NYSE,America/New_York
AFG,American Financial Group Inc,USD,New York Stock Exchange,NYSE,America/New_York
AFGE,AMERICAN FINANCIL 6A 0.25 SUB DEBENT,USD,New York Stock Exchange,NYSE,America/New_York
AFGH,AMERN FINL GRP /6 SUB DEB 20551115,USD,New York Stock Exchange,NYSE,America/New_York
AFH,Atlas Financial Holdings Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AFHBL,ATLAS FINANCIAL 6.625 UNSEC SNR NTS,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AFI,Armstrong Flooring Inc,USD,New York Stock Exchange,NYSE,America/New_York
AFIN,American Finance Trust Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AFL,AFLAC Incorporated,USD,New York Stock Exchange,NYSE,America/New_York
AFMD,Affimed NV,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AG,First Majestic Silver Corp.,USD,New York Stock Exchange,NYSE,America/New_York
AGCO,AGCO Corporation,USD,New York Stock Exchange,NYSE,America/New_York
AGEN,Agenus Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGFS,AgroFresh Solutions Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGI,Alamos Gold Inc,USD,New York Stock Exchange,NYSE,America/New_York
AGIO,Agios Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGLE,Aeglea Bio Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGM,Federal Agricultural Mortgage Corp. Class C,USD,New York Stock Exchange,NYSE,America/New_York
AGM-A,FMRMAC/PFD SH S A,USD,New York Stock Exchange,NYSE,America/New_York
AGM-B,FMRMAC/6.875% RED EXGBL PF,USD,New York Stock Exchange,NYSE,America/New_York
AGM-C,FDR AGR MR 6 SRS C FD FL NON CUM PRF,USD,New York Stock Exchange,NYSE,America/New_York
AGM.A,Federal Agricultural Mortgage Corp. Class A,USD,New York Stock Exchange,NYSE,America/New_York
AGMH,AGM Group Holdings Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGN,Allergan plc,USD,New York Stock Exchange,NYSE,America/New_York
AGNC,AGNC Investment Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGNCB,AGNC INVST 1000 DS REP 1 SRS B PRF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGNCN,AGNC INVT CORP/RED PFD SH S C,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGND,WISDOMTREE TR/BARCLAYS NEGATIVE D,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGO,Assured Guaranty Ltd.,USD,New York Stock Exchange,NYSE,America/New_York
AGO-B,Assured Guaranty Municipal Hldg Inc,USD,New York Stock Exchange,NYSE,America/New_York
AGO-E,ASSURED GUARANTY MUN HLDGS 6.25% NTS,USD,New York Stock Exchange,NYSE,America/New_York
AGO-F,ASSURED GUARANTY MUN HLDGS 5.60% NTS,USD,New York Stock Exchange,NYSE,America/New_York
AGR,Avangrid Inc,USD,New York Stock Exchange,NYSE,America/New_York
AGRO,Adecoagro SA,USD,New York Stock Exchange,NYSE,America/New_York
AGRX,Agile Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGS,Playags Inc,USD,New York Stock Exchange,NYSE,America/New_York
AGTC,Applied Genetic Technologies Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGX,"Argan, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
AGYS,"Agilysys, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AGZD,WISDOMTREE TR/BARCLAYS INT RATE H,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AHC,A. H. Belo Corp,USD,New York Stock Exchange,NYSE,America/New_York
AHH,Armada Hoffler Properties Inc,USD,New York Stock Exchange,NYSE,America/New_York
AHL,Aspen Insurance Holdings Limited,USD,New York Stock Exchange,NYSE,America/New_York
AHL-C,ASPEN INS HOLDI/5.95% PREF SH,USD,New York Stock Exchange,NYSE,America/New_York
AHL-D,ASPEN Ins HOLDI/% PFD sh,USD,New York Stock Exchange,NYSE,America/New_York
AHPI,Allied Healthcare Products Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AHT,"Ashford Hospitality Trust, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
AHT-D,"Ashford Hospitality Trust, Inc. Preferred Stock Series D",USD,New York Stock Exchange,NYSE,America/New_York
AHT-F,"Ashford Hospitality Trust, Inc. Preferred Shares Series F",USD,New York Stock Exchange,NYSE,America/New_York
AHT-G,ASHFORD HSPTLTY 7.375 SRS G CUM PRF,USD,New York Stock Exchange,NYSE,America/New_York
AHT-H,"Ashford Hospitality Trust, Inc. Cum. Pref. Shrs Series H",USD,New York Stock Exchange,NYSE,America/New_York
AHT-I,"Ashford Hospitality Trust, Inc. Preferred Shares Series I",USD,New York Stock Exchange,NYSE,America/New_York
AI,Arlington Asset Investment Corp,USD,New York Stock Exchange,NYSE,America/New_York
AI-B,ARLINGTON ASSET/7% RED PFD SH S B,USD,New York Stock Exchange,NYSE,America/New_York
AIA,ISHARES TR/ASIA 50 IX ETF,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIC,ARLINGTON ASSET INVESTMENT 6.750 NTS,USD,New York Stock Exchange,NYSE,America/New_York
AIG,American International Group Inc,USD,New York Stock Exchange,NYSE,America/New_York
AIHS,Senmiao Technology Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIMC,Altra Industrial Motion Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIMT,Aimmune Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIN,Albany International Corp.,USD,New York Stock Exchange,NYSE,America/New_York
AIPT,Precision Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIQ,GLB X FUNDS/FUTURE ANALYTICS TE,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIR,AAR Corp.,USD,New York Stock Exchange,NYSE,America/New_York
AIRG,Airgain Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIRR,1ST TR EXCHANGE/RBA AMERN INDL RENA,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIRT,"Air T, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIT,Applied Industrial Technologies,USD,New York Stock Exchange,NYSE,America/New_York
AIV,Apartment Investment and Management Co,USD,New York Stock Exchange,NYSE,America/New_York
AIV-A,APARTMENT INV AND MGMT CL A CUM PRF,USD,New York Stock Exchange,NYSE,America/New_York
AIW,ARLINGTON ASSET INVESTMNT 6.625% NTS,USD,New York Stock Exchange,NYSE,America/New_York
AIY,APOLLO INVESTMENT 6.875% SNR NTS,USD,New York Stock Exchange,NYSE,America/New_York
AIZ,"Assurant, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
AIZP,ASSURANT MANDATORY CONV SRS D PRF,USD,New York Stock Exchange,NYSE,America/New_York
AJG,Arthur J Gallagher & Co,USD,New York Stock Exchange,NYSE,America/New_York
AJRD,Aerojet Rocketdyne Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York
AJX,Great Ajax Corp,USD,New York Stock Exchange,NYSE,America/New_York
AJXA,GREAT AJAX 7 25 CNVRTBL SNR NTS,USD,New York Stock Exchange,NYSE,America/New_York
AKAM,"Akamai Technologies, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKAO,Achaogen Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKBA,Akebia Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKCA,Akcea Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKER,Akers Biosciences Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKO.A,Embotelladora Andina SA ADR Series A,USD,New York Stock Exchange,NYSE,America/New_York
AKO.B,Embotelladora Andina SA ADR Series B,USD,New York Stock Exchange,NYSE,America/New_York
AKR,Acadia Realty Trust,USD,New York Stock Exchange,NYSE,America/New_York
AKRX,"Akorn, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKS,AK Steel Holding Corporation,USD,New York Stock Exchange,NYSE,America/New_York
AKTS,Akoustis Technologies Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKTX,Akari Therapeutics PLC,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AL,Air Lease Corp,USD,New York Stock Exchange,NYSE,America/New_York
ALB,Albemarle Corporation,USD,New York Stock Exchange,NYSE,America/New_York
ALBO,Albireo Pharma Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALCO,"Alico, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALDR,Alder Biopharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALDX,Aldeyra Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALE,ALLETE Inc,USD,New York Stock Exchange,NYSE,America/New_York
ALEX,Alexander & Baldwin Inc,USD,New York Stock Exchange,NYSE,America/New_York
ALG,"Alamo Group, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
ALGN,"Align Technology, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALGR,ALLEGRO MERGER/SH,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALGT,Allegiant Travel Company,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALIM,Alimera Sciences Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALJJ,"ALJ Regional Holdings, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALK,"Alaska Air Group, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
ALKS,Alkermes Plc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALL,Allstate Corp,USD,New York Stock Exchange,NYSE,America/New_York
ALL-A,ALLSTAT DS REP 1/1000 SRS A PERP PRF,USD,New York Stock Exchange,NYSE,America/New_York
ALL-B,ALLSTATE 5.100% FTF RATE SUB DEBENT,USD,New York Stock Exchange,NYSE,America/New_York
ALL-D,ALSTT DS REP 1/1000 SRS D NN CM PRF,USD,New York Stock Exchange,NYSE,America/New_York
ALL-E,ALL STATE DS REP SRS E 1/1000 PRF,USD,New York Stock Exchange,NYSE,America/New_York
ALL-F,ALLSTAT DS REP 1 1000 PERP SRS F PRF,USD,New York Stock Exchange,NYSE,America/New_York
ALL-G,ALLST DS REP 1 1000 NONCUM SRS G PRF,USD,New York Stock Exchange,NYSE,America/New_York
ALLE,Allegion PLC,USD,New York Stock Exchange,NYSE,America/New_York
ALLK,Allakos Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALLO,Allogene Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALLT,Allot Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALLY,Ally Financial Inc,USD,New York Stock Exchange,NYSE,America/New_York
ALLY-A,GMAC CAP 8.125% SRS 2 TRUPS,USD,New York Stock Exchange,NYSE,America/New_York
ALNA,Allena Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALNY,"Alnylam Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALOT,AstroNova Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALP-Q,ALABAMA PWR CL A PRF,USD,New York Stock Exchange,NYSE,America/New_York
ALPN,Alpine Immune Sciences Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALQA,Alliqua Biomedical Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALRM,AlarmCom Hldg Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALRN,Aileron Therapeutics Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALSK,Alaska Communications Systems Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALSN,Allison Transmission Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York
ALT,Altimmune Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALTM,Altus Midstream Co,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALTR,Altair Engineering Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALTY,GLB X FUNDS/SUPERDIVIDEND ALTER,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALV,Autoliv Inc.,USD,New York Stock Exchange,NYSE,America/New_York
ALX,"Alexander's, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
ALXN,"Alexion Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALYA,Alithya Group inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AM,Antero Midstream Partners LP,USD,New York Stock Exchange,NYSE,America/New_York
AMAG,"AMAG Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMAL,Amalgamated Bank,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMAT,"Applied Materials, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMBA,Ambarella Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMBC,"Ambac Financial Group, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMBR,Amber Road Inc,USD,New York Stock Exchange,NYSE,America/New_York
AMC,AMC Entertainment Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York
AMCA,ISHARES TR/RUSSELL 1000 PURE U,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMCN,AirMedia Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMCX,AMC NETWORKS INC Common Stock,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMD,"Advanced Micro Devices, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AME,"AMETEK, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
AMED,Amedisys Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMEH,Apollo Medical Holdings Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMG,"Affiliated Managers Group, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
AMGN,"Amgen, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMGP,Antero Midstream GP LP,USD,New York Stock Exchange,NYSE,America/New_York
AMH,American Homes 4 Rent,USD,New York Stock Exchange,NYSE,America/New_York
AMH-D,AMRC HOM 4 RNT PRP CUM RDM SRS D PRF,USD,New York Stock Exchange,NYSE,America/New_York
AMH-E,AMERN HOMES 4 R/6.35% RED PFD SH S,USD,New York Stock Exchange,NYSE,America/New_York
AMH-F,AMERN HOMES 4 R/PFD SH S F,USD,New York Stock Exchange,NYSE,America/New_York
AMH-G,AMERICAN HOMES 4 RENT CUM PRF SRS G,USD,New York Stock Exchange,NYSE,America/New_York
AMH-H,AMERN HOMES 4 R/PFD SH S H,USD,New York Stock Exchange,NYSE,America/New_York
AMID,American Midstream Partners LP,USD,New York Stock Exchange,NYSE,America/New_York
AMKR,"Amkor Technology, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMN,"AMN Healthcare Services, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
AMNB,American National BankShares Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMOT,"Allied Motion Technologies, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMOV,America Movil SAB de CV ADR Class A,USD,New York Stock Exchange,NYSE,America/New_York
AMP,"Ameriprise Financial, Inc.",USD,New York Stock Exchange,NYSE,America/New_York
AMPH,Amphastar Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMR,Alta Mesa Resources Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMRB,American River Bankshares,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMRC,Ameresco Inc,USD,New York Stock Exchange,NYSE,America/New_York
AMRH,Ameri Holdings Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMRK,A-Mark Precious Metals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMRN,Amarin Corporation plc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMRS,Amyris Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMRX,Amneal Pharmaceuticals Inc,USD,New York Stock Exchange,NYSE,America/New_York
AMSC,American Superconductor Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMSF,"Amerisafe, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMSWA,"American Software, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMT,American Tower Corp,USD,New York Stock Exchange,NYSE,America/New_York
AMTB,Mercantil Bank Holding Corp Class A,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMTBB,Mercantil Bank Holding Corp Class B,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York
